times,player_id,sl_team_id,match_id,player_name,position_en,nationality,shirt_number,total_scoring_att,ontarget_scoring_att,goals,goal_assist,total_att_assist,total_contest,won_contest,fouls,was_fouled,total_clearance,saves,won_tackle,total_tackle,accurate_pass,total_pass,mins_played,averageGoals,averageAssists,averageKeyPasses,averageBreakThrough,averageClearance,averageTackle,averagePasses,averagePassSuccess,averageGoals_fen,averageAssists_fen,averageKeyPasses_fen,averageBreakThrough_fen,averageClearance_fen,averageTackle_fen,averagePasses_fen,averagePassSuccess_fen,total_fen,is_key
5,135363,932,"[2041883, 2041896, 2041907, 2041918, 2041927]",Andreas Christensen,Defender,Denmark,6,3,2,1,0,1,1,1,4,3,9,0,3,8,227,255,441,0.2,0.0,0.2,0.2,1.8,0.6,45.4,0.89,2,1,0,0,1,0,2,3,9,0
5,132015,932,"[2041883, 2041896, 2041907, 2041918, 2041927]",Pierre-Emile Højbjerg,Middle,Denmark,23,7,3,0,3,10,12,9,2,2,4,0,4,4,284,330,450,0.0,0.6,2.0,1.8,0.8,0.8,56.8,0.86,0,3,3,2,0,2,3,2,15,1
5,48714,932,"[2041883, 2041896, 2041907, 2041918, 2041927]",Simon Kjaer,Defender,Denmark,4,2,1,0,0,1,1,0,3,4,16,0,6,10,182,212,410,0.0,0.0,0.2,0.0,3.2,1.2,36.4,0.86,0,0,0,0,3,3,0,2,8,0
5,229220,932,"[2041883, 2041896, 2041907, 2041918, 2041927]",Joakim Maehle,Defender,Denmark,5,10,7,2,1,7,23,11,3,7,4,0,2,3,203,239,450,0.4,0.2,1.4,2.2,0.8,0.4,40.6,0.85,3,2,2,3,0,0,1,0,11,0
5,93100,932,"[2041883, 2041896, 2041907, 2041918, 2041927]",Jannik Vestergaard,Defender,Denmark,3,7,4,0,0,2,2,1,6,2,14,0,3,4,189,224,381,0.0,0.0,0.4,0.2,2.8,0.6,37.8,0.84,0,0,0,0,2,0,0,0,2,0
5,68690,932,"[2041883, 2041896, 2041907, 2041918, 2041927]",Martin Braithwaite,Forward,Denmark,9,14,3,1,0,7,13,7,5,10,1,0,1,1,123,149,445,0.2,0.0,1.4,1.4,0.2,0.2,24.6,0.83,0,0,2,1,0,0,0,0,3,0
5,68640,932,"[2041883, 2041896, 2041907, 2041918, 2041927]",Thomas Delaney,Middle,Denmark,8,7,1,1,0,4,1,1,9,3,6,0,4,7,164,203,375,0.2,0.0,0.8,0.2,1.2,0.8,32.8,0.81,2,0,0,0,0,2,0,0,4,0
5,17745,932,"[2041883, 2041896, 2041907, 2041918, 2041927]",Kasper Schmeichel,GK,Denmark,1,0,0,0,0,1,0,0,0,0,2,8,0,0,67,107,450,0.0,0.0,0.2,0.0,0.4,0.0,13.4,0.63,0,0,0,0,0,0,0,0,0,0
4,56624,932,"[2041883, 2041896, 2041907, 2041927]",Daniel Wass,Middle,Denmark,18,4,2,0,0,5,1,0,2,6,6,0,2,6,108,132,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,80607,932,[2041883],Christian Eriksen,Middle,Denmark,10,2,1,0,0,2,1,0,0,0,0,0,0,0,23,26,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,226973,932,[2041883],Jonas Wind,Forward,Denmark,19,4,1,0,0,2,0,0,0,0,1,0,0,1,12,12,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
4,166028,932,"[2041883, 2041896, 2041907, 2041927]",Yussuf Poulsen,Forward,Denmark,20,7,4,2,0,6,2,1,5,4,0,0,1,2,51,74,243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
5,207283,932,"[2041883, 2041896, 2041907, 2041918, 2041927]",Mathias Jensen,Middle,Denmark,24,2,0,0,1,3,2,1,3,1,1,0,0,2,83,97,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2,430368,932,"[2041883, 2041896]",Andreas Skov Olsen,Forward,Denmark,11,0,0,0,0,1,3,1,0,2,0,0,1,1,15,17,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
5,68659,932,"[2041883, 2041896, 2041907, 2041918, 2041927]",Jens Stryger Larsen,Defender,Denmark,17,0,0,0,1,7,3,2,0,0,4,0,0,0,88,111,221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
4,114517,932,"[2041883, 2041896, 2041907, 2041918]",Andreas Cornelius,Forward,Denmark,21,4,1,0,1,2,7,6,2,1,0,0,1,1,19,25,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
4,440089,932,"[2041896, 2041907, 2041918, 2041927]",Mikkel Damsgaard,Middle,Denmark,14,7,3,1,1,5,14,9,4,6,0,0,1,4,73,98,264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
4,128295,932,"[2041896, 2041907, 2041918, 2041927]",Christian Nørgaard,Middle,Denmark,15,0,0,0,0,1,1,1,0,2,2,0,0,0,61,66,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
3,209914,932,"[2041907, 2041918, 2041927]",Kasper Dolberg,Forward,Denmark,12,6,4,3,0,1,4,3,5,5,2,0,1,2,29,39,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,80398,932,[2041918],Nicolai Boilesen,Defender,Denmark,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2,174874,932,"[2041918, 2041927]",Joachim Andersen,Defender,Denmark,2,1,1,0,0,0,0,0,0,0,3,0,0,0,6,6,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
5,97299,922,"[2041887, 2041900, 2041912, 2041924, 2041928]",John Stones,Defender,England,5,2,0,0,0,0,4,3,1,1,11,0,3,6,327,345,439,0.0,0.0,0.0,0.6,2.2,0.6,65.4,0.95,0,0,0,1,3,1,3,3,11,0
5,204480,922,"[2041887, 2041900, 2041912, 2041924, 2041928]",Declan Rice,Middle,England,4,2,2,0,0,1,4,0,5,1,7,0,2,7,208,229,370,0.0,0.0,0.2,0.0,1.4,0.4,41.6,0.91,0,0,0,0,1,0,0,2,3,0
4,106760,922,"[2041900, 2041912, 2041924, 2041928]",Luke Shaw,Defender,England,3,1,0,0,3,8,0,0,6,2,4,0,3,5,181,206,335,0.0,0.75,2.0,0.0,1.0,0.75,45.25,0.88,0,3,3,0,0,2,1,1,10,0
4,58621,922,"[2041887, 2041912, 2041924, 2041928]",Kyle Walker,Defender,England,2,0,0,0,0,0,0,0,1,2,8,0,0,0,204,236,360,0.0,0.0,0.0,0.0,2.0,0.0,51.0,0.86,0,0,0,0,2,0,2,0,4,0
5,155405,922,"[2041887, 2041900, 2041912, 2041924, 2041928]",Kalvin Phillips,Middle,England,14,1,1,0,1,2,4,2,9,3,2,0,2,3,188,219,425,0.0,0.2,0.4,0.4,0.4,0.4,37.6,0.86,0,2,1,0,0,0,0,0,3,0
