id,match_id,team_id,player_id,position_id,shirt_number,total_scoring_att,ontarget_scoring_att,goals,goal_assist,total_att_assist,total_contest,won_contest,fouls,was_fouled,total_clearance,saves,won_tackle,total_tackle,accurate_pass,total_pass,mins_played,modify_time,player_name_cn,scoring_percent,sl_team_id,position_cn,position_long_cn,player_name_en,position_en,config_match_id,nationality
1074310,2041883,369,17745,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,90,210614 235901,舒梅切尔,0.0%,932,门,门将,Kasper Schmeichel,GK,236752,Denmark
1074314,2041883,369,135363,2,6,0,0,0,0,0,1,1,1,0,2,0,0,2,73,75,90,210614 235901,克里斯滕森,0.0%,932,卫,后卫,Andreas Christensen,Defender,236752,Denmark
1074313,2041883,369,56624,2,18,2,1,0,0,2,0,0,1,2,0,0,0,2,53,64,75,210614 235901,沃斯,50%,932,卫,后卫,Daniel Wass,Middle,236752,Denmark
1074312,2041883,369,48714,2,4,0,0,0,0,0,0,0,0,1,1,0,1,2,34,44,63,210614 235901,克亚尔,0.0%,932,卫,后卫,Simon Kjaer,Defender,236752,Denmark
1074311,2041883,369,229220,2,5,2,0,0,0,1,3,1,0,1,0,0,0,0,72,81,90,210614 235901,梅勒,0%,932,卫,后卫,Joakim Maehle,Defender,236752,Denmark
1074316,2041883,369,80607,3,10,2,1,0,0,2,1,0,0,0,0,0,0,0,23,26,43,210614 235901,埃里克森,50%,932,中,中场,Christian Eriksen,Middle,236752,Denmark
1074315,2041883,369,132015,3,23,2,2,0,0,3,0,0,1,0,0,0,1,1,78,90,90,210614 235901,霍伊别尔,100%,932,中,中场,Pierre-Emile Højbjerg,Middle,236752,Denmark
1074317,2041883,369,68640,3,8,3,0,0,0,2,0,0,2,2,1,0,1,1,41,49,76,210614 235901,德莱尼,0%,932,中,中场,Thomas Delaney,Middle,236752,Denmark
1074320,2041883,369,226973,4,19,4,1,0,0,2,0,0,0,0,1,0,0,1,12,12,63,210614 235901,乔纳斯-温德,25%,932,锋,前锋,Jonas Wind,Forward,236752,Denmark
1074319,2041883,369,166028,4,20,1,0,0,0,4,1,0,2,2,0,0,1,1,22,27,90,210614 235901,鲍尔森,0%,932,锋,前锋,Yussuf Poulsen,Forward,236752,Denmark
1074318,2041883,369,68690,4,9,2,0,0,0,3,3,1,1,3,0,0,1,1,37,44,90,210614 235901,布莱斯维特,0%,932,锋,前锋,Martin Braithwaite,Forward,236752,Denmark
1074328,2041883,369,209914,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210614 235901,多尔贝里,0.0%,932,替,替补,Kasper Dolberg,Forward,236752,Denmark
1074321,2041883,369,207283,5,24,1,0,0,0,0,0,0,1,0,0,0,0,0,41,48,47,210614 235901,延森,0%,932,替,替补,Mathias Jensen,Middle,236752,Denmark
1074323,2041883,369,430368,5,11,0,0,0,0,0,1,0,0,1,0,0,1,1,11,13,27,210614 235901,奥尔森,0.0%,932,替,替补,Andreas Skov Olsen,Forward,236752,Denmark
1074332,2041883,369,440089,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,210614 235901,达姆斯加德,0.0%,932,替,替补,Mikkel Damsgaard,Middle,236752,Denmark
1074327,2041883,369,174874,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210614 235901,J-安德森,0.0%,932,替,替补,Joachim Andersen,Defender,236752,Denmark
1074331,2041883,369,57513,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210614 235901,洛斯尔,0.0%,932,替,替补,Jonas Lössl,GK,236752,Denmark
1074326,2041883,369,68659,5,17,0,0,0,0,1,0,0,0,0,0,0,0,0,12,15,15,210614 235901,斯特里格,0.0%,932,替,替补,Jens Stryger Larsen,Defender,236752,Denmark
1074325,2041883,369,80398,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210614 235901,博伊莱森,0.0%,932,替,替补,Nicolai Boilesen,Defender,236752,Denmark
1074329,2041883,369,93100,5,3,2,1,0,0,0,0,0,1,0,0,0,0,0,22,26,27,210614 235901,维斯特加德,50%,932,替,替补,Jannik Vestergaard,Defender,236752,Denmark
1074330,2041883,369,114517,5,21,1,0,0,0,0,0,0,1,0,0,0,0,0,6,7,14,210614 235901,卡利纳斯,0%,932,替,替补,Andreas Cornelius,Forward,236752,Denmark
1074324,2041883,369,128295,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210614 235901,诺加德,0.0%,932,替,替补,Christian Nørgaard,Middle,236752,Denmark
1074322,2041883,369,89628,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210614 235901,容诺夫,0.0%,932,替,替补,Frederik Rønnow,GK,236752,Denmark
1074955,2041896,369,17745,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,10,15,90,210618 075901,舒梅切尔,0.0%,932,门,门将,Kasper Schmeichel,GK,236765,Denmark
1074958,2041896,369,56624,2,18,2,1,0,0,0,1,0,1,2,2,0,1,2,23,28,62,210618 075901,沃斯,50%,932,卫,后卫,Daniel Wass,Middle,236765,Denmark
1074959,2041896,369,135363,2,6,0,0,0,0,0,0,0,1,0,1,0,1,1,53,57,90,210618 075901,克里斯滕森,0.0%,932,卫,后卫,Andreas Christensen,Defender,236765,Denmark
1074957,2041896,369,93100,2,3,1,1,0,0,0,0,0,1,2,2,0,1,2,34,39,84,210618 075901,维斯特加德,100%,932,卫,后卫,Jannik Vestergaard,Defender,236765,Denmark
1074956,2041896,369,48714,2,4,0,0,0,0,0,1,0,2,0,2,0,3,4,33,38,90,210618 075901,克亚尔,0.0%,932,卫,后卫,Simon Kjaer,Defender,236765,Denmark
1074960,2041896,369,229220,2,5,3,2,0,0,4,4,2,0,2,0,0,1,1,40,45,90,210618 075901,梅勒,66.7%,932,卫,后卫,Joakim Maehle,Defender,236765,Denmark
1074962,2041896,369,440089,3,14,3,0,0,0,2,7,5,1,2,0,0,0,2,23,32,72,210618 075901,达姆斯加德,0%,932,中,中场,Mikkel Damsgaard,Middle,236765,Denmark
1074963,2041896,369,68640,3,8,2,0,0,0,1,0,0,0,0,0,0,0,3,40,49,72,210618 075901,德莱尼,0%,932,中,中场,Thomas Delaney,Middle,236765,Denmark
